Product Name,Category,Review
Acer Aspire 5 A515-45-R74Z Slim Laptop.csv,Laptops,"['big downside', 'hard space', 'hard failure', 'hard time', 'hard drive', 'hard kit', 'hard button', 'hard surface', 'personal problem', 'last complaint', 'only screws', 'empty module', 'empty slot', 'ridiculous stickers', 'lower graphics', 'lower corners', 'lowest setting', 'lowest settings', 'low hours', 'low settings', 'strange things', 'full stop', 'new stops', 'significant problem', 'major troubles', 'inferior plastic']"
Acer Chromebook Spin 314.csv,Laptops,"['serious drawbacks', 'awkward bulk', 'bad angles', 'ridiculous number', 'poor choice', 'stylus rejection', 'lower speeds', 'sluggish contraption', 'low latency', 'nerdy part', 'significant lag', 'minuscule lag']"
Acer Nitro 5.csv,Laptops,"['hard disk', 'serious complaints', 'SINGLE problem']"
Acer Predator Helios 300.csv,Laptops,"['frustrating thing', 'faulty hardware', 'faulty motherboard', 'faulty battery', 'faulty cables', 'faulty product', 'annoying part', 'annoying feature', 'Big waste', 'bad charger', 'bad supply', 'bad experience', 'bad fan', 'bad screws', 'bad luck', 'bad shipment', 'bad choice', 'bad laptop', 'negative ones', 'negative stars', 'insane policy', 'worst support', 'worst purchase', 'worst service', 'consistent problems', 'dead battery', 'dead laptop', 'dead computer', 'dead pixels', 'hard keyboard', 'hard reset', 'hard drive', 'hard storage', 'hard power', 'serious gaming', 'poor components', 'poor life', 'poor service', 'Stupid feature', 'low end', 'low price', 'low games', 'low light', 'worse speak', 'worse computer', 'worse screen', 'weird design', 'weird graphics', 'weird thing', 'weird noises', 'lower laptops', 'defective version', 'defective device', 'defective memory', 'defective item', 'defective computer', 'defective card', 'defective Laptop', 'defective product', 'defective unit', 'high hell', 'Pathetic quality', 'main problem', 'dangerous flaw', 'reliable rig', 'same problems', 'same errors', 'same problem', 'slight shock', 'first disappointment', 'second disappointment', 'off drop', 'limited refund', 'worthless people', 'fake names', 'broken unit', 'broken product', 'terrible choice', 'terrible device', 'terrible quality', 'critical error', 'reset tricks', 'endless problems', 'horrible setup', 'horrible noises', 'horrible experience', 'ongoing problem', 'sad truth', 'audio problem', 'awful streaks', 'awful issue', 'Terrible service', 'glaring problem', 'huge problem', 'sick day', 'substantial drop', 'stupidest choice', 'accidental discharge', 'Total dud', 'Hard drive']"
Asus Scar 15.csv,Laptops,"['siren alarm', 'minor pains', 'minor annoyances', 'terrible monster', 'thermal problems', 'broken laptop', 'bad luck', 'loose port', 'annoying features', 'annoying pop', 'lower amperage', 'defective unit', 'poor flow', 'hard surface', 'stupid software', 'boring stuff', 'weird stuff', 'weird quirks']"
ASUS TUF Gaming F15.csv,Laptops,"['costly expenditure', 'more trouble', 'bad direction', 'lower end', 'lower shell', 'low environments', 'low gb', 'low games', 'low quality', 'single complaint', 'first rig', 'stupid questions']"
Lenovo IdeaPad Gaming 3.csv,Laptops,"['bad tearing', 'bad laptop', 'insane reason', 'only complaint', 'evil village', 'dead remake', 'critical error', 'faulty system', 'more problems', 'demanding things', 'other complaint', 'minimal lag', 'lower settings']"
MSI Katana 15.csv,Laptops,"['hard drives', 'hard drive', 'hidden screw', 'lower price']"
MSI Pulse GL66.csv,Laptops,['weak side']
MSI Stealth 17.csv,Laptops,"['underlying problem', 'low hum', 'major loss', 'noisy environment', 'poor battery', 'poor software', 'dangerous charger', 'big problem']"
